mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,30557.520741962813,24406.05997041293,54963.58071237574,2500.0,170403.6214743036,-117940.04076192786,500,0
2,1,2,27692.236447920182,36082.23433355519,63774.47078147538,2500.0,172449.66777634135,-111175.19699486597,475,25
3,1,3,25854.63040636312,46750.011428953694,72604.64183531681,2500.0,146159.77911694243,-76055.13728162562,452,48
4,1,4,26254.414723533897,48638.43418738442,74892.84891091831,2500.0,259385.22026656164,-186992.37135564332,433,67
5,1,5,24330.132193717385,49281.21878283445,73611.35097655182,2500.0,207189.03285979625,-136077.68188324443,412,88
6,1,6,22915.330130409595,45409.06522050607,68324.39535091567,2500.0,178183.61016497688,-112359.21481406121,391,109
7,1,7,24129.012177304485,50415.82227162249,74544.83444892698,2500.0,170415.4153659911,-98370.58091706412,371,129
8,1,8,20395.809833502215,47527.202076420144,67923.01190992235,2500.0,183537.8276107465,-118114.81570082414,354,146
9,1,9,19391.320430364165,45667.72250379883,65059.04293416299,2500.0,102939.78244968117,-40380.73951551817,333,167
10,1,10,18596.184736412357,41509.27698660972,60105.461723022076,2500.0,219571.18948291676,-161965.72775989468,323,177
11,1,11,18044.391456243342,43046.502419628036,61090.89387587138,2500.0,84571.37528773514,-25980.48141186376,303,197
12,1,12,18207.842874850106,34031.30804644342,52239.15092129352,2500.0,195307.83587747457,-145568.68495618104,293,207
13,2,1,14818.66891420322,34775.70835557455,49594.37726977777,2500.0,101155.9625119656,-54061.58524218783,277,223
14,2,2,14078.3362535642,34955.7616314946,49034.0978850588,2500.0,111420.79017456542,-64886.69228950662,263,237
15,2,3,12883.742774622713,36385.39456138423,49269.13733600694,2500.0,56341.568324951746,-9572.430988944805,249,251
16,2,4,13770.06873600629,31915.61613829401,45685.6848743003,2500.0,108111.06589496894,-64925.38102066864,241,259
17,2,5,13573.375280947295,27960.739669459774,41534.11495040707,2500.0,90685.94482023611,-51651.82986982904,232,268
18,2,6,13406.994207766607,29611.196046024117,43018.19025379072,2500.0,129700.78255254155,-89182.59229875082,224,276
19,2,7,13874.109238894202,33162.176926092034,47036.28616498623,2500.0,70964.13766767854,-26427.851502692312,210,290
20,2,8,11534.454549655775,29023.507733830258,40557.962283486035,2500.0,136680.63108172786,-98622.66879824182,203,297
21,2,9,10927.51410671503,27041.959231787227,37969.473338502256,2500.0,100843.43290359931,-65373.95956509706,190,310
22,2,10,10452.967012008341,27055.97811893238,37508.94513094072,2500.0,94856.49697077158,-59847.551839830856,180,320
23,2,11,9447.0426083906,24578.067042615825,34025.10965100642,2500.0,80870.40785939034,-49345.298208383916,169,331
24,2,12,10313.771665688204,24235.201554562624,34548.97322025083,2500.0,118351.46331985333,-86302.4900996025,163,337
25,3,1,7838.04802111821,22337.970606850467,30176.01862796868,2500.0,34573.82947604409,-6897.810848075413,153,347
26,3,2,7796.295636056194,19020.472965994148,26816.768602050342,2500.0,73668.39311036607,-49351.62450831573,150,350
27,3,3,7434.128527407288,15464.621600463428,22898.750127870717,2500.0,154233.9640312567,-133835.213903386,143,357
28,3,4,7505.511087990208,11925.674027006651,19431.185114996857,2500.0,85905.56988657138,-68974.38477157452,131,369
29,3,5,7464.856715150999,12545.22862750231,20010.08534265331,2500.0,64622.812227531555,-47112.72688487824,123,377
30,3,6,7000.317336754135,13022.947046580246,20023.264383334383,2500.0,29425.206449035355,-11901.942065700972,116,384
31,3,7,7329.62119410921,14828.214565261182,22157.83575937039,2500.0,24750.0,-5092.164240629609,112,388
32,3,8,6551.72942300238,15037.529889320864,21589.259312323244,2500.0,57450.08213308691,-38360.822820763664,109,391
33,3,9,5655.801741903057,12087.797977689695,17743.599719592752,2500.0,44409.548765976906,-29165.949046384154,102,398
34,3,10,5811.56335931895,12749.165220209086,18560.728579528037,2500.0,7500.0,8560.728579528037,98,402
35,3,11,5916.430562413394,12920.055504550315,18836.48606696371,2500.0,37261.211195860145,-20924.725128896436,97,403
36,3,12,5892.964291454175,11571.390796278565,17464.35508773274,2500.0,46961.59644288617,-31997.24135515343,93,407
