mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,4451096.400033943,2071501.1742450162,6522597.57427896,412500.0,3411937.737310401,2698159.836968559,9000,0
2,1,2,3810647.873538397,3205273.589196843,7015921.462735239,412500.0,4201677.226242111,2401744.2364931284,8821,179
3,1,3,3419868.124935865,3820996.5718047214,7240864.696740586,412500.0,4633343.787725977,2195020.9090146096,8637,363
4,1,4,3516498.044242438,4254418.203843134,7770916.248085572,412500.0,5076566.103446604,2281850.1446389686,8463,537
5,1,5,3319470.603267825,4446427.492092903,7765898.095360728,412500.0,5283096.8162247315,2070301.2791359965,8291,709
6,1,6,3173182.7415204165,4536450.697011679,7709633.438532095,412500.0,5335997.769436615,1961135.6690954808,8120,880
7,1,7,3344699.064038199,4655788.050121568,8000487.114159767,412500.0,4844567.522145884,2743419.5920138825,7956,1044
8,1,8,2927020.859422144,4555110.863886773,7482131.723308917,412500.0,4710524.935223697,2359106.7880852204,7811,1189
9,1,9,2873044.954020104,4457829.542997393,7330874.497017497,412500.0,5243496.689748099,1674877.8072693981,7663,1337
10,1,10,2821776.475715419,4381974.406502005,7203750.882217424,412500.0,4763423.07175619,2027827.8104612343,7503,1497
11,1,11,2778883.544787746,4297096.665120335,7075980.209908081,412500.0,5043146.547643108,1620333.662264973,7355,1645
12,1,12,2963892.0332936994,4251373.836582694,7215265.869876394,412500.0,5100372.451447845,1702393.4184285486,7203,1797
13,2,1,2356454.307464553,4041124.3305068747,6397578.637971427,412500.0,4665153.345666642,1319925.292304785,7052,1948
14,2,2,2354074.1763301496,3950508.959594552,6304583.135924702,412500.0,4003168.4629962496,1888914.672928452,6909,2091
15,2,3,2318298.6974744033,3858581.633339217,6176880.33081362,412500.0,4468683.41733018,1295696.91348344,6783,2217
16,2,4,2523242.5742583317,3833688.5215285355,6356931.095786868,412500.0,4022705.806608665,1921725.2891782029,6641,2359
17,2,5,2460565.4223626056,3746829.6900206567,6207395.112383262,412500.0,4435830.674574739,1359064.437808523,6515,2485
18,2,6,2413407.4739947347,3684387.6311894823,6097795.105184217,412500.0,3844066.07412102,1841229.0310631972,6379,2621
19,2,7,2605394.9597527054,3699101.587132714,6304496.54688542,412500.0,3824488.9070163933,2067507.6398690264,6266,2734
20,2,8,2316171.174559672,3640321.4601566335,5956492.634716306,412500.0,4462384.064940169,1081608.5697761364,6153,2847
21,2,9,2248803.6887646513,3531558.250827508,5780361.939592159,412500.0,4327822.75102043,1040039.1885717297,6017,2983
22,2,10,2219811.2914164835,3458356.272162335,5678167.563578818,412500.0,3695329.779080978,1570337.7844978399,5886,3114
23,2,11,2167862.027646107,3358124.0307880635,5525986.058434171,412500.0,4199438.035382008,914048.0230521625,5773,3227
24,2,12,2336991.9378974093,3312841.228138211,5649833.1660356205,412500.0,3561009.3170283935,1676323.849007227,5644,3356
25,3,1,1880870.3979262337,3170377.065844164,5051247.463770398,412500.0,3655660.2992392294,983087.1645311685,5539,3461
26,3,2,1853325.1870946044,3067775.3464965024,4921100.5335911065,412500.0,2910976.7487123045,1597623.784878802,5419,3581
27,3,3,1835549.6012154783,2991995.4928478445,4827545.094063323,412500.0,4453931.821476016,-38886.7274126932,5328,3672
28,3,4,1974598.8822215684,2960531.0185278235,4935129.900749392,412500.0,3384584.1302044475,1138045.7705449443,5183,3817
29,3,5,1932370.583169098,2928276.94303909,4860647.526208188,412500.0,2881658.1220245543,1566489.404183634,5077,3923
30,3,6,1887881.3654474008,2883136.263121408,4771017.628568809,412500.0,2804919.5479959464,1553598.0805728622,4985,4015
31,3,7,2029182.4610996363,2897045.568876975,4926228.029976612,412500.0,3588426.8996520843,925301.1303245276,4901,4099
32,3,8,1804786.8226989135,2801685.215710928,4606472.038409842,412500.0,3672973.6190847764,520998.4193250658,4798,4202
33,3,9,1770378.7638346155,2740365.79807739,4510744.561912006,412500.0,2963039.4094389267,1135205.152473079,4688,4312
34,3,10,1736231.1086292353,2668404.1894458355,4404635.298075071,412500.0,3205631.26477857,786504.0332965008,4601,4399
35,3,11,1697264.7592568768,2622589.5417432995,4319854.301000176,412500.0,2646948.361002554,1260405.9399976218,4502,4498
36,3,12,1848596.8905452462,2614193.833634694,4462790.72417994,412500.0,3529108.709131707,521182.0150482333,4422,4578
