mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,25008.07852595821,23727.643031637588,48735.721557595796,166.66666666666666,117435.52042568794,-68866.46553475881,100,0
2,1,2,20944.014608031663,34530.71766960771,55474.73227763937,166.66666666666666,61255.55054302058,-5947.484932047875,93,7
3,1,3,19962.264852545115,43636.13133901099,63598.39619155611,166.66666666666666,55047.77084673302,8383.958678156421,90,10
4,1,4,20138.624513200266,44623.11051040602,64761.735023606285,166.66666666666666,61744.86950672152,2850.1988502180975,87,13
5,1,5,18995.456343210044,48641.54569234669,67637.00203555674,166.66666666666666,115264.63559195235,-47794.30022306228,85,15
6,1,6,17541.90796666673,52722.43670680672,70264.34467347345,166.66666666666666,60000.0,10097.678006806775,80,20
7,1,7,17778.442408117367,55546.262969140655,73324.70537725803,166.66666666666666,44000.0,29158.038710591354,77,23
8,1,8,15535.367677494667,47452.445766162185,62987.81344365685,166.66666666666666,128697.44860743097,-65876.30183044079,75,25
9,1,9,15507.741890282125,48538.60669277178,64046.3485830539,166.66666666666666,0.0,63879.681916387235,72,28
10,1,10,14874.852763749319,45348.392649717825,60223.24541346714,166.66666666666666,46327.46954245664,13729.10920434384,72,28
11,1,11,15219.729023063659,44321.40335730981,59541.13238037347,166.66666666666666,100036.859217253,-40662.3935035462,71,29
12,1,12,15427.462569963072,40418.36724682224,55845.82981678531,166.66666666666666,22000.0,33679.16315011865,67,33
13,2,1,12909.712274055448,43427.9281303063,56337.64040436175,166.66666666666666,18000.0,38170.97373769509,66,34
14,2,2,12452.91651289672,40886.829117597495,53339.74563049422,166.66666666666666,0.0,53173.07896382755,65,35
15,2,3,12296.72635532586,36490.21772039503,48786.94407572089,166.66666666666666,74387.11798240605,-25766.84057335183,65,35
16,2,4,13931.85498591054,37972.997803746555,51904.852789657096,166.66666666666666,0.0,51738.18612299043,63,37
17,2,5,13652.477428111275,33350.36837217289,47002.845800284165,166.66666666666666,29616.34857148298,17219.83056213452,63,37
18,2,6,14376.972151941607,35969.55831726454,50346.53046920615,166.66666666666666,20000.0,30179.863802539483,62,38
19,2,7,14322.496007925785,36912.26894716828,51234.76495509407,166.66666666666666,71759.89779211354,-20691.799503686132,61,39
20,2,8,12579.615172102116,35657.62907814384,48237.24425024595,166.66666666666666,40000.0,8070.577583579288,59,41
21,2,9,12256.949482164317,37600.54049512699,49857.489977291305,166.66666666666666,50594.562714391584,-903.7394037669437,57,43
22,2,10,11476.455479758053,33612.925574130946,45089.381053888996,166.66666666666666,80702.2909600535,-35779.576572831174,55,45
23,2,11,11485.412388864037,30179.150138566005,41664.56252743004,166.66666666666666,49938.86328677088,-8440.967426007504,52,48
24,2,12,12014.82211553214,30581.80860424024,42596.63071977238,166.66666666666666,66000.0,-23570.035946894284,51,49
25,3,1,9301.047948464075,30855.967724447313,40157.01567291139,166.66666666666666,0.0,39990.34900624472,48,52
26,3,2,9287.57073564849,33206.82870046059,42494.39943610908,166.66666666666666,0.0,42327.73276944242,48,52
27,3,3,9017.760347639223,35873.89570137609,44891.65604901531,166.66666666666666,18000.0,26724.98938234865,48,52
28,3,4,9853.571575964848,37636.52334326161,47490.09491922645,166.66666666666666,20000.0,27323.42825255979,47,53
29,3,5,9305.582927623316,34858.446953914725,44164.02988153804,166.66666666666666,46978.53494553101,-2981.17173065964,46,54
30,3,6,8909.44247590039,30364.601831374024,39274.04430727442,166.66666666666666,20000.0,19107.377640607752,45,55
31,3,7,9924.399467076719,32727.459532160836,42651.85899923756,166.66666666666666,0.0,42485.19233257089,44,56
32,3,8,9030.874615006152,32159.977473567167,41190.852088573316,166.66666666666666,20000.0,21024.18542190665,44,56
33,3,9,8776.637333945006,32259.845861715497,41036.483195660505,166.66666666666666,20000.0,20869.81652899384,43,57
34,3,10,8354.734980671226,31663.848263599848,40018.583244271074,166.66666666666666,20000.0,19851.91657760441,42,58
35,3,11,8181.589130327639,25136.416760030057,33318.005890357694,166.66666666666666,154409.6637843009,-121258.32456060988,41,59
36,3,12,7591.285061655901,26787.895293684574,34379.180355340475,166.66666666666666,44000.0,-9787.486311326189,36,64
