mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,9034.763694939307,7280.1656601014,16314.929355040707,2000.0,85282.90213648397,-70967.97278144327,300,0
2,1,2,7661.419776076496,9278.820862733053,16940.240638809548,2000.0,58833.79737947878,-43893.556740669235,281,19
3,1,3,7173.79504900038,9766.124409589238,16939.91945858962,2000.0,70122.40716866207,-55182.487710072455,267,33
4,1,4,7501.231624434179,11510.306800135131,19011.53842456931,2000.0,74112.42548655439,-57100.88706198508,253,47
5,1,5,6948.548493573275,12709.330972847818,19657.879466421095,2000.0,62542.76033817819,-44884.880871757094,239,61
6,1,6,6428.089690119057,10220.535122601788,16648.624812720846,2000.0,80362.54327026855,-65713.9184575477,227,73
7,1,7,6833.548341262859,10708.607733734516,17542.156074997376,2000.0,79257.1052440147,-63714.94916901733,215,85
8,1,8,5829.306381924198,11564.941489054185,17394.247870978383,2000.0,53386.429141960514,-37992.18127098213,202,98
9,1,9,5414.690467557302,8861.47666967873,14276.167137236032,2000.0,68947.9260432064,-56671.758905970375,192,108
10,1,10,5263.555525707449,9079.38232579425,14342.937851501698,2000.0,40592.417138792225,-28249.479287290527,181,119
11,1,11,4879.973511979041,8819.213756562624,13699.187268541664,2000.0,75579.56283706418,-63880.37556852252,173,127
12,1,12,5007.231294944618,9244.361380637867,14251.592675582484,2000.0,14437.5,-2185.907324417516,158,142
13,2,1,3942.643559864462,8152.63067839883,12095.274238263293,2000.0,38496.17650418981,-28400.902265926517,155,145
14,2,2,3789.161437096153,7256.371715429759,11045.533152525912,2000.0,76697.54117056553,-67652.00801803962,147,153
15,2,3,3407.202678070971,6995.439715560465,10402.642393631435,2000.0,25577.03421182114,-17174.391818189706,135,165
16,2,4,3818.58299462456,6343.250393200745,10161.833387825305,2000.0,61127.039017409115,-52965.20562958381,132,168
17,2,5,3452.590436429229,6426.810525266445,9879.400961695676,2000.0,38504.31352464827,-30624.912562952595,122,178
18,2,6,3317.9703988298784,5472.058022437233,8790.028421267112,2000.0,90773.0326416049,-83983.0042203378,117,183
19,2,7,3208.8231699049534,5707.8434695911665,8916.66663949612,2000.0,24062.5,-17145.83336050388,104,196
20,2,8,2705.0832627232107,4882.502839356834,7587.586102080044,2000.0,17500.0,-11912.413897919956,99,201
21,2,9,2699.8348265334203,3698.598487022005,6398.433313555425,2000.0,57095.867292167255,-52697.43397861183,95,205
22,2,10,2422.26826764458,3692.015129033316,6114.283396677896,2000.0,13125.0,-9010.716603322104,86,214
23,2,11,2400.017527715069,3947.241865780891,6347.2593934959605,2000.0,22977.70008914963,-18630.44069565367,83,217
24,2,12,2461.036654298451,3868.716404188121,6329.753058486573,2000.0,32906.71115659273,-28576.95809810616,79,221
25,3,1,1789.7401316859693,3317.6222027323674,5107.362334418337,2000.0,3937.5,-830.137665581663,73,227
26,3,2,1895.6854074991707,2541.4396154612323,4437.125022960403,2000.0,49934.76095718833,-47497.635934227925,72,228
27,3,3,1648.1535919330158,2204.737177360508,3852.890769293524,2000.0,19687.5,-17834.609230706476,64,236
28,3,4,1734.8445157297954,2229.537365360881,3964.381881090676,2000.0,17500.0,-15535.618118909324,59,241
29,3,5,1649.3621229976343,2673.4454450853355,4322.80756808297,2000.0,4375.0,-2052.1924319170303,55,245
30,3,6,1545.1685749432067,2449.1175555792393,3994.286130522446,2000.0,16704.570075345513,-14710.283944823066,54,246
31,3,7,1633.4352260835406,3236.6944087540255,4870.129634837566,2000.0,9625.0,-6754.870365162434,50,250
32,3,8,1348.7302086512002,2203.595461817154,3552.3256704683545,2000.0,35827.45118896903,-34275.12551850068,48,252
33,3,9,1267.1841434398689,2084.3020001579316,3351.4861435978005,2000.0,13125.0,-11773.5138564022,44,256
34,3,10,1186.9993233387058,2207.560079258341,3394.5594025970468,2000.0,4375.0,-2980.4405974029532,41,259
35,3,11,1118.4733262372024,2228.5190256894366,3346.992351926639,2000.0,4375.0,-3028.007648073361,40,260
36,3,12,1182.934994258054,1756.7634976152367,2939.6984918732905,2000.0,25936.54026631728,-24996.841774443987,39,261
