mes_global,anio,mes,ingresos_comisiones,ingresos_intereses,ingresos_totales,gastos,perdidas,ganancia,clientes_activos,clientes_morosos
1,1,1,979017.4640530904,1156003.8827816467,2135021.346834737,291666.6666666667,2342349.0855631405,-498994.4053950703,5000,0
2,1,2,755786.8237946655,1779619.5085095228,2535406.332304188,291666.6666666667,3958095.6786651276,-1714356.013027606,4766,234
3,1,3,607653.7220275103,2114743.3927465254,2722397.1147740358,291666.6666666667,3524010.433168949,-1093279.9850615798,4487,513
4,1,4,571640.6645290343,2318629.3478182503,2890270.0123472847,291666.6666666667,4002944.058445424,-1404340.7127648056,4273,727
5,1,5,488718.92314238974,2378108.7064932506,2866827.6296356404,291666.6666666667,4139333.185929909,-1564172.222960935,4068,932
6,1,6,442422.5988889111,2348578.2495657224,2791000.8484546337,291666.6666666667,4384889.5771004455,-1885555.3953124783,3875,1125
7,1,7,435645.31727294775,2297160.2142219506,2732805.5314948983,291666.6666666667,4215536.602352975,-1774397.7375247432,3671,1329
8,1,8,372449.6834563811,2221557.208950355,2594006.8924067365,291666.6666666667,3683467.3846323327,-1381127.1588922627,3487,1513
9,1,9,341057.09364099306,2094657.4422077371,2435714.5358487302,291666.6666666667,3979498.5938298292,-1835450.7246477655,3327,1673
10,1,10,326977.72867029405,2003871.2674039963,2330848.9960742905,291666.6666666667,2773723.922341982,-734541.5929343582,3153,1847
11,1,11,316860.2701029988,1916409.4278498096,2233269.6979528083,291666.6666666667,3554157.5491811824,-1612554.5178950408,3029,1971
12,1,12,326823.4254650681,1844801.5555518486,2171624.9810169167,291666.6666666667,3246404.284008203,-1366445.9696579531,2874,2126
13,2,1,254416.91796392007,1754631.1695688856,2009048.0875328057,291666.6666666667,2863492.310696293,-1146110.8898301541,2737,2263
14,2,2,241413.2639038403,1637151.7934695184,1878565.0573733586,291666.6666666667,3236040.8902134285,-1649142.4995067366,2609,2391
15,2,3,234101.92221147235,1557697.675095987,1791799.5973074595,291666.6666666667,2408364.582456113,-908231.6518153201,2470,2530
16,2,4,250736.55456809196,1488626.1910546666,1739362.7456227585,291666.6666666667,2537206.923782574,-1089510.8448264822,2357,2643
17,2,5,241141.7954893709,1450448.3121509207,1691590.1076402916,291666.6666666667,2235875.0152459354,-835951.5742723106,2246,2754
18,2,6,221689.68492127914,1390786.3305579831,1612476.0154792622,291666.6666666667,2460609.4356631823,-1139800.0868505868,2148,2852
19,2,7,230562.31624650504,1334320.9367544968,1564883.253001002,291666.6666666667,2063410.1201391767,-790193.5338048416,2043,2957
20,2,8,199031.2744906198,1253863.774091476,1452895.048582096,291666.6666666667,2184790.724815141,-1023562.3428997118,1957,3043
21,2,9,196763.7771415606,1198927.051756358,1395690.8288979186,291666.6666666667,1884318.9710682314,-780294.8088369796,1863,3137
22,2,10,183446.90207090462,1136855.5557352754,1320302.45780618,291666.6666666667,1790866.3948107082,-762230.603671195,1783,3217
23,2,11,176465.73436959012,1078093.3196559479,1254559.054025538,291666.6666666667,1799269.431357248,-836377.0439983767,1706,3294
24,2,12,185029.1490237887,1036658.4144954385,1221687.563519227,291666.6666666667,1963151.5969988427,-1033130.7001462823,1623,3377
25,3,1,142874.1091809832,963993.3748054908,1106867.483986474,291666.6666666667,1593421.1922529133,-778220.3749331059,1542,3458
26,3,2,141038.28924285944,925045.7611355248,1066084.0503783843,291666.6666666667,1460517.929231349,-686100.5455196314,1468,3532
27,3,3,132507.02546241376,879089.2814252754,1011596.3068876892,291666.6666666667,1748232.2389809915,-1028302.598759969,1400,3600
28,3,4,139107.00210541656,822883.3284174807,961990.3305228972,291666.6666666667,1774207.0625767547,-1103883.3987205243,1321,3679
29,3,5,132581.5767910925,784252.4060055504,916833.9827966429,291666.6666666667,1356666.8166102334,-731499.5004802572,1245,3755
30,3,6,124075.85277929177,756895.7943522764,880971.6471315682,291666.6666666667,1095080.7963144695,-505775.815849568,1185,3815
31,3,7,130382.78601236592,730880.8950002822,861263.6810126482,291666.6666666667,1076661.254679195,-507064.24033321347,1137,3863
32,3,8,113670.84189076327,691222.9581343713,804893.8000251346,291666.6666666667,1180247.13812255,-667020.0047640821,1088,3912
33,3,9,109414.69433047381,639392.3301178679,748807.0244483417,291666.6666666667,1464590.526599656,-1007450.1688179811,1036,3964
34,3,10,101957.92993876197,606183.7985150222,708141.7284537841,291666.6666666667,1311615.526829799,-895140.4650426814,970,4030
35,3,11,97492.33647606692,577548.9974984335,675041.3339745004,291666.6666666667,1333123.735968714,-949749.0686608804,909,4091
36,3,12,94106.05650264461,561141.9729701146,655248.0294727592,291666.6666666667,865780.6452108918,-502199.2824047993,851,4149
