scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
optimistic,0,2027445.2523534298,4800000.0,329627.6903034706,-3102182.4379500407,0.052,948.0,1000.0,summary,,,,,,,,,,,,,
optimistic,0,78768.57522246608,,,25552.662004152415,,,,monthly,1.0,1.0,1.0,78768.57522246608,0.0,33333.333333333336,19882.579884980332,1000.0,0.0,55178.705329047974,0.0,1471432.1421079459,55178.705329047974
optimistic,0,118476.23211358798,,,76142.89878025465,,,,monthly,2.0,1.0,2.0,69731.30959546319,48744.92251812479,33333.333333333336,9000.0,997.0,3.0,85319.49398010201,48744.92251812479,2275186.5061360537,91753.27679102519
optimistic,0,139825.52623507235,,,97492.192901739,,,,monthly,3.0,1.0,3.0,67778.28570725396,72047.2405278184,33333.333333333336,9000.0,995.0,5.0,106807.13877716604,72047.24052781843,2848190.3673910946,126513.1750403728
optimistic,0,163671.0356452685,,,82401.92978393713,,,,monthly,4.0,1.0,4.0,72674.43804983905,90996.59759542947,33333.333333333336,47935.77252799804,993.0,7.0,119474.66611914689,90996.5975954295,3185991.0965105835,154834.24550841007
optimistic,0,176454.66066245374,,,90679.01754351484,,,,monthly,5.0,1.0,5.0,68986.61721894433,107468.0434435094,33333.333333333336,52442.309785605554,985.0,15.0,121927.4136637606,107468.04344350938,3251397.6977002826,169045.6848525712
optimistic,0,173029.32037155432,,,112338.3069643619,,,,monthly,6.0,1.0,6.0,67581.3415041303,105447.97886742403,33333.333333333336,27357.680073859083,976.0,24.0,128714.59071120215,105447.97886742403,3432389.0856320574,192310.1530410583
optimistic,0,190307.6276086858,,,129474.29427535247,,,,monthly,7.0,1.0,7.0,72885.26132418425,117422.36628450158,33333.333333333336,27500.0,972.0,28.0,133462.57323712588,117422.3662845016,3559001.9529900234,208350.3599936826
optimistic,0,195430.19107246466,,,137096.85773913132,,,,monthly,8.0,1.0,8.0,66458.78715605252,128971.40391641214,33333.333333333336,25000.0,967.0,33.0,134687.16828256624,128971.40391641209,3591657.820868433,214066.12435983671
optimistic,0,190238.99552245642,,,156905.66218912308,,,,monthly,9.0,1.0,9.0,65083.48088944585,125155.51463301056,33333.333333333336,0.0,962.0,38.0,137939.64480858215,125155.51463301058,3678390.528228857,226850.25453540828
