scenario,seed,total_income,total_expenses,total_losses,net_profit,delinquency_rate,active_clients_final,num_clients_initial,simulation_type,month,year,month_of_year,commission_income,interest_income,expenses,losses,active_clients,delinquent_clients,interes_generado_total,pagos_interes_total,saldo_principal_total,saldo_interes_total
optimistic,0,144145.16070212296,24000.0,23369.440550716397,96775.72015140657,0.06,94.0,100.0,summary,,,,,,,,,,,,,
optimistic,0,5119.802679719009,,,-2246.8639869476583,,,,monthly,1.0,1.0,1.0,5119.802679719009,0.0,166.66666666666666,7200.0,100.0,0.0,4376.866600780701,0.0,87537.33201561404,4376.866600780701
optimistic,0,8240.88008445105,,,8074.213417784383,,,,monthly,2.0,1.0,2.0,4437.885352586245,3802.994731864804,166.66666666666666,0.0,98.0,2.0,6199.872813036017,3802.994731864803,123997.45626072034,6773.7446819519155
optimistic,0,10070.311750998317,,,6303.645084331651,,,,monthly,3.0,1.0,3.0,4461.728127919875,5608.5836230784425,166.66666666666666,3600.0,98.0,2.0,7768.606486780742,5608.583623078442,155372.12973561484,8933.767545654215
optimistic,0,10775.591990670124,,,3705.8264978715615,,,,monthly,4.0,1.0,4.0,4812.345452987399,5963.246537682724,166.66666666666666,6903.098826131896,97.0,3.0,9771.246041799594,5963.246537682723,195424.92083599188,12407.050803430857
optimistic,0,11760.673665254035,,,11594.006998587369,,,,monthly,5.0,1.0,5.0,4440.18405896195,7320.489606292084,166.66666666666666,0.0,96.0,4.0,10635.900949392653,7320.4896062920825,212718.01898785308,15722.462146531427
optimistic,0,14826.440636795349,,,14659.773970128683,,,,monthly,6.0,1.0,6.0,4242.505267101472,10583.935369693876,166.66666666666666,0.0,96.0,4.0,9924.896245185993,10583.935369693876,198497.92490371986,15063.423022023542
optimistic,0,14709.568834100828,,,10142.902167434162,,,,monthly,7.0,1.0,7.0,4872.252779485285,9837.316054615543,166.66666666666666,4400.0,96.0,4.0,10452.53004490306,9837.316054615547,209050.6008980612,15678.637012311056
optimistic,0,14231.480853446987,,,14064.81418678032,,,,monthly,8.0,1.0,8.0,4181.393779114836,10050.08707433215,166.66666666666666,0.0,95.0,5.0,10525.82131001659,10050.087074332148,210516.42620033183,16154.371247995497
optimistic,0,13976.49264925543,,,13809.825982588764,,,,monthly,9.0,1.0,9.0,4227.631376686672,9748.861272568758,166.66666666666666,0.0,95.0,5.0,9460.142369585363,9748.861272568758,189202.84739170727,15865.652345012104
optimistic,0,11879.177983597969,,,11712.511316931303,,,,monthly,10.0,1.0,10.0,4310.541748587688,7568.636235010281,166.66666666666666,0.0,95.0,5.0,9653.573739788992,7568.63623501028,193071.47479577985,17950.589849790817
optimistic,0,13553.297900298283,,,12120.289509047117,,,,monthly,11.0,1.0,11.0,4230.48049103207,9322.817409266214,166.66666666666666,1266.3417245844994,95.0,5.0,9829.268268315418,9322.817409266214,196585.36536630837,18414.761952559104
optimistic,0,15001.441673535575,,,14834.77500686891,,,,monthly,12.0,1.0,12.0,4738.509900480301,10262.931773055274,166.66666666666666,0.0,94.0,6.0,10452.837701696,10262.931773055274,209056.75403392003,18604.667881199828
optimistic,1,131069.41353755177,24000.0,16768.453671508738,90300.95986604303,0.03,97.0,100.0,summary,,,,,,,,,,,,,
optimistic,1,5389.697755780836,,,5223.031089114169,,,,monthly,1.0,1.0,1.0,5389.697755780836,0.0,166.66666666666666,0.0,100.0,0.0,4066.4414533511044,0.0,81328.82906702209,4066.4414533511044
optimistic,1,8306.0417527815,,,8139.375086114834,,,,monthly,2.0,1.0,2.0,4828.202730295893,3477.8390224856066,166.66666666666666,0.0,100.0,0.0,5647.5002623531755,3477.839022485607,112950.00524706353,6236.102693218673
optimistic,1,9268.996491089878,,,5502.329824423212,,,,monthly,3.0,1.0,3.0,4600.920243569225,4668.076247520652,166.66666666666666,3600.0,100.0,0.0,6306.579734041659,4668.076247520653,126131.5946808332,7874.60617973968
optimistic,1,9808.97319967133,,,9642.306533004665,,,,monthly,4.0,1.0,4.0,4929.716435600295,4879.256764071036,166.66666666666666,0.0,99.0,1.0,7477.451573616639,4879.256764071036,149549.03147233278,10472.800989285282
optimistic,1,11942.478482722832,,,11775.811816056166,,,,monthly,5.0,1.0,5.0,4903.5346453219145,7038.943837400919,166.66666666666666,0.0,99.0,1.0,7634.5071181482235,7038.9438374009205,152690.14236296449,11068.364270032585
optimistic,1,11903.031969528674,,,11736.365302862008,,,,monthly,6.0,1.0,6.0,4939.659630482915,6963.372339045758,166.66666666666666,0.0,99.0,1.0,8114.091456567425,6963.372339045759,162281.82913134852,12219.083387554252
optimistic,1,11894.567958759075,,,11727.901292092409,,,,monthly,7.0,1.0,7.0,5296.227345694177,6598.340613064897,166.66666666666666,0.0,99.0,1.0,8580.896869486864,6598.340613064898,171617.9373897373,14201.639643976217
optimistic,1,12519.232484572234,,,3584.1121463968284,,,,monthly,8.0,1.0,8.0,4763.124846916421,7756.107637655813,166.66666666666666,8768.45367150874,99.0,1.0,8060.757189141121,7756.107637655813,161215.14378282244,13747.621467574347
optimistic,1,11664.268245416954,,,11497.601578750287,,,,monthly,9.0,1.0,9.0,4770.189151127002,6894.079094289951,166.66666666666666,0.0,98.0,2.0,8229.53504554523,6894.07909428995,164590.70091090462,15083.077418829625
